井上压力（MPa）,注水流量（L/Min）,回水流量（L/Min）,注入量（L）,回流量（L）,,,,,,
0.017272312,0.007045293,-0.021938579,134.6544637,-51.17016459,,,,0.048,,1
0.046256184,0.003019756,-0.017107933,134.6544662,-51.17017885,,,,0.05,,
0.036594893,0.003824863,-0.022743686,134.6544694,-51.1701978,,,,0.052,,
0.075240056,0.004629971,-0.020328363,134.6544732,-51.17021474,,,,,,
0.007611021,0.004629971,-0.018718148,134.6544771,-51.17023034,,,,,,
0.022102957,0.002214648,-0.017107933,134.6544789,-51.1702446,,,,,,
0.026933603,0.007850401,-0.018718148,134.6544855,-51.17026019,,,,,,
0.171852963,-0.004226212,-0.021938579,134.6544819,-51.17027848,,,,,,
0.051086829,0.011070831,-0.018718148,134.6544912,-51.17029407,,,,,,
0.036594893,0.013486154,-0.018718148,134.6545024,-51.17030967,,,,,,
0.065578765,0.008655509,-0.020328363,134.6545096,-51.17032661,,,,,,
0.022102957,0.008655509,-0.023548794,134.6545168,-51.17034624,,,,,,
0.080070701,0.007045293,-0.016302826,134.6545227,-51.17035982,,,,,,
-0.002050269,0.010265724,-0.013887503,134.6545313,-51.1703714,,,,,,
0.007611021,0.004629971,-0.017107933,134.6545351,-51.17038565,,,,,,
0.128377155,0.001409541,-0.021133471,134.6545363,-51.17040326,,,,,,
0.017272312,0.005435078,-0.020328363,134.6545408,-51.1704202,,,,,,
0.031764248,0.004629971,-0.019523256,134.6545447,-51.17043647,,,,,,
0.162191672,-0.003421105,-0.018718148,134.6545418,-51.17045207,,,,,,
0.007611021,0.001409541,-0.021133471,134.654543,-51.17046968,,,,,,
0.017272312,0.005435078,-0.017107933,134.6545475,-51.17048394,,,,,,
0.084901347,0.006240186,-0.025964116,134.6545527,-51.17050558,,,,,,
0.022102957,0.007850401,-0.00825175,134.6545593,-51.17051245,,,,,,
0.055917475,0.002214648,-0.006641535,134.6545611,-51.17051799,,,,,,
0.065578765,0.003019756,-0.013887503,134.6545636,-51.17052956,,,,,,
0.036594893,0.009460616,-0.015497718,134.6545715,-51.17054248,,,,,,
0.109054573,0.002214648,-0.019523256,134.6545734,-51.17055874,,,,,,
0.026933603,0.008655509,-0.016302826,134.6545806,-51.17057233,,,,,,
0.046256184,0.002214648,-0.017107933,134.6545824,-51.17058659,,,,,,
0.104223928,0.001409541,-0.022743686,134.6545836,-51.17060554,,,,,,
0.041425539,0.008655509,-0.016302826,134.6545908,-51.17061913,,,,,,
0.022102957,0.011070831,-0.025964116,134.6546,-51.17064076,,,,,,
0.099393283,0.003824863,-0.024353901,134.6546032,-51.17066106,,,,,,
0.017272312,0.007850401,-0.013887503,134.6546098,-51.17067263,,,,,,
0.094562637,0.007850401,-0.014692611,134.6546163,-51.17068487,,,,,,
0.051086829,0.007045293,-0.017913041,134.6546222,-51.1706998,,,,,,
-0.002050269,0.006240186,-0.019523256,134.6546274,-51.17071607,,,,,,
0.128377155,0.007045293,-0.021133471,134.6546332,-51.17073368,,,,,,
0.051086829,0.000604433,-0.016302826,134.6546337,-51.17074727,,,,,,
0.031764248,0.004629971,-0.020328363,134.6546376,-51.17076421,,,,,,
0.055917475,0.004629971,-0.018718148,134.6546415,-51.17077981,,,,,,
-0.050356723,0.002214648,-0.020328363,134.6546433,-51.17079675,,,,,,
0.171852963,0.007850401,-0.021938579,134.6546499,-51.17081503,,,,,,
0.017272312,0.009460616,-0.018718148,134.6546577,-51.17083063,,,,,,
0.065578765,0.004629971,-0.014692611,134.6546616,-51.17084287,,,,,,
-0.040695432,0.008655509,-0.013082395,134.6546688,-51.17085377,,,,,,
0.031764248,0.004629971,-0.017107933,134.6546727,-51.17086803,,,,,,
0.051086829,0.003019756,-0.016302826,134.6546752,-51.17088162,,,,,,
0.026933603,0.003824863,-0.014692611,134.6546784,-51.17089386,,,,,,
0.099393283,0.003824863,-0.019523256,134.6546816,-51.17091013,,,,,,
0.046256184,0.005435078,-0.021133471,134.6546861,-51.17092774,,,,,,
0.06074812,0.007045293,-0.014692611,134.654692,-51.17093998,,,,,,
0.026933603,0.010265724,-0.007446643,134.6547005,-51.17094619,,,,,,
0.171852963,0.007045293,-0.017107933,134.6547064,-51.17096045,,,,,,
0.007611021,0.010265724,-0.017107933,134.6547149,-51.1709747,,,,,,
0.046256184,0.003824863,-0.013887503,134.6547181,-51.17098628,,,,,,
0.099393283,0.005435078,-0.017107933,134.6547227,-51.17100053,,,,,,
0.017272312,0.007045293,-0.016302826,134.6547285,-51.17101412,,,,,,
0.123546509,0.005435078,-0.021133471,134.6547331,-51.17103173,,,,,,
0.065578765,0.007850401,-0.020328363,134.6547396,-51.17104867,,,,,,
0.06074812,0.016706584,-0.022743686,134.6547535,-51.17106762,,,,,,
0.113885219,0.003019756,-0.023548794,134.654756,-51.17108725,,,,,,
0.017272312,0.004629971,-0.021133471,134.6547599,-51.17110486,,,,,,
0.089731992,0.007045293,-0.020328363,134.6547658,-51.1711218,,,,,,
0.022102957,0.006240186,-0.015497718,134.654771,-51.17113471,,,,,,
0.041425539,0.003019756,-0.016302826,134.6547735,-51.1711483,,,,,,
0.070409411,0.011875939,-0.018718148,134.6547834,-51.1711639,,,,,,
0.065578765,0.001409541,-0.016302826,134.6547846,-51.17117748,,,,,,
0.167022317,0.007850401,-0.019523256,134.6547911,-51.17119375,,,,,,
